"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"装饰器形式异常处理","1","test_decorator_with_exception","tests.unit","2026-09-22","passed","2026-09-22","","test_progress","",""
"验证 update_book_summary 能正确更新 summary_text 字段","7","test_update_book_summary_updates_field","tests.unit","2026-09-22","passed","2026-09-22","TestSummaryTextField","test_summary_text","",""
"转换二级标题","1","test_converts_h2","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"含 -- 且前面超60字符，取 -- 前部分再截断","4","test_double_dash_and_long","tests.unit","2026-09-22","passed","2026-09-22","TestFilenameNormalization","test_directory_scanner","",""
"-- 前后有空格","4","test_double_dash_with_spaces","tests.unit","2026-09-22","passed","2026-09-22","TestFilenameNormalization","test_directory_scanner","",""
"成功阶段不设置 failed 状态","12","test_successful_stage_does_not_set_failed","tests.integration","2026-09-22","passed","2026-09-22","TestErrorPropagation","test_error_propagation","",""
"封面文件不存在时返回空字符串","1","test_returns_empty_when_cover_not_exists","tests.unit","2026-09-22","passed","2026-09-22","TestBuildCoverHtml","test_pdf_generator","",""
"空缓存","1","test_consistency_empty_cache","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"验证 stats 字典包含 prompt_tokens 和 completion_tokens 字段","0","test_stats_has_prompt_and_completion_tokens","tests.unit","2026-09-22","passed","2026-09-22","TestTranslatorStats","test_translator_stats","",""
"验证 _create_pdf_playwright 方法存在","0","test_playwright_method_exists","tests.unit","2026-09-22","passed","2026-09-22","TestCreatePdfWeasyprint","test_pdf_generator","",""
"_inject_cover_image replaces __COVER_PLACEHOLDER__ with actual base64","2","test_replaces_single_placeholder","tests.unit","2026-09-22","passed","2026-09-22","TestCoverImageInjection","test_image_generator","",""
"","1","test_publish_stage_skips_when_flag_set","tests.unit","2026-09-22","passed","2026-09-22","TestStageShouldSkip","test_pipeline","",""
"测试同一本书的多条 Token 记录","5","test_multiple_steps_for_same_book","tests.unit","2026-09-22","passed","2026-09-22","TestTokenUsageModel","test_token_usage","",""
"验证 update_book_summary 返回更新后的 Book 对象","9","test_update_book_summary_returns_book","tests.unit","2026-09-22","passed","2026-09-22","TestSummaryTextField","test_summary_text","",""
"验证 BookOutput 表有 quality_report 字段","7","test_quality_report_field_exists","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"场景2：不移动非 EPUB — .pdf 和 .txt 应保留在原目录","9","test_does_not_move_non_epub","tests.integration","2026-09-22","passed","2026-09-22","TestFileMoving","test_file_moving","",""
"验证 TokenUsage 的 model 字段","8","test_token_usage_model_field","tests.integration","2026-09-22","passed","2026-09-22","TestTokenTracking","test_token_tracking","",""
"
        验证 generate_xiaohongshu_note 不依赖 self.db

        期望：调用时不会抛出 AttributeError: 'AIClient' object has no attribute 'db'
        ","3528","test_generate_xiaohongshu_note_no_db_attribute","tests.unit","2026-09-22","passed","2026-09-22","TestAIClientCopywriting","test_copywriting_bugs","",""
"翻译过短（但非空）应保留翻译，不应回退原文","1","test_short_translation_keeps_translated_not_original","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_check_optimization","",""
"Should include title and author","1","test_prompt_includes_book_info","tests.unit","2026-09-22","passed","2026-09-22","TestFormatHtmlPrompt","test_image_generator","",""
"处理 html_body 内容","3","test_handles_html_body_content","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMiniEpub","test_pdf_generator","",""
"","0","test_translation_result_dict","tests.unit","2026-09-22","passed","2026-09-22","TestPipelineContext","test_pipeline","",""
"通过 Pipeline 测试翻译阶段失败时状态变化","18","test_translation_stage_failure_via_pipeline","tests.integration","2026-09-22","passed","2026-09-22","TestErrorPropagation","test_error_propagation","",""
"验证 chat() 方法分别跟踪 prompt_tokens, completion_tokens, total_tokens","0","test_chat_tracks_token_breakdown","tests.unit","2026-09-22","passed","2026-09-22","TestTranslatorStats","test_translator_stats","",""
"空格翻译应保留原文","0","test_whitespace_only_translation_keeps_original","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_check_optimization","",""
"","1","test_translation_stage_runs_when_flag_not_set","tests.unit","2026-09-22","passed","2026-09-22","TestStageShouldSkip","test_pipeline","",""
"usage 为空时应跳过记录","3","test_generate_handles_missing_usage","tests.unit","2026-09-22","passed","2026-09-22","TestAICopywriterTokenRecording","test_ai_copywriter_tokens","",""
"场景3：目录不存在时自动创建","8","test_auto_creates_processed_dir","tests.integration","2026-09-22","passed","2026-09-22","TestFileMoving","test_file_moving","",""
"Empty base64 leaves placeholder as-is","1","test_empty_base64_leaves_placeholder","tests.unit","2026-09-22","passed","2026-09-22","TestCoverImageInjection","test_image_generator","",""
"验证 _create_pdf_reportlab 方法存在","0","test_reportlab_method_exists","tests.unit","2026-09-22","passed","2026-09-22","TestCreatePdfReportlab","test_pdf_generator","",""
"验证 MD5 哈希是 32 位十六进制字符串","1","test_translation_cache_md5_returns_32_char_hex","tests.integration","2026-09-22","passed","2026-09-22","TestTranslationCache","test_translation_cache","",""
"综合评分为各维度评分的加权平均","1","test_overall_score_average","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"测试 get_token_summary 汇总","6","test_get_token_summary","tests.unit","2026-09-22","passed","2026-09-22","TestDatabaseManagerTokenMethods","test_token_usage","",""
"通过 Pipeline 测试文案生成阶段失败","10","test_copywriting_stage_failure_via_pipeline","tests.integration","2026-09-22","passed","2026-09-22","TestErrorPropagation","test_error_propagation","",""
"
        AST 检查：meta_dir 赋值行号 < 使用行号
        ","11","test_publish_method_meta_dir_defined_before_use","tests.unit","2026-09-22","passed","2026-09-22","TestXianyuPublisherMetaDir","test_copywriting_bugs","",""
"count_unbackfilled_failed 正确计数未回填的失败书","11","test_count_unbackfilled_failed","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"新建 BookOutput 时 quality_report 默认为 None","6","test_quality_report_defaults_to_none","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"转换三级标题","0","test_converts_h3","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"backfill_failed_publish_status 把'日志中曾失败但 publish_status 仍 pending'的回填为 failed","6","test_backfill_failed_publish_status_marks_pending_as_failed","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"模板中出现 CSS/JSON 字面量 `{...}` 时不应崩溃(修复 KeyError: '
  --primary')。","0","test_safe_format_tolerates_literal_css_braces","tests.unit","2026-09-22","passed","2026-09-22","","test_image_generator_unit","",""
"验证 chat() 返回 (text, usage) 元组","1","test_chat_returns_tuple","tests.unit","2026-09-22","passed","2026-09-22","TestAIClientChatReturnsTuple","test_ai_client_tokens","",""
"translate_epub 返回 success=False 时，process 返回 False","6275","test_translation_processor_failed_translation","tests.integration","2026-09-22","passed","2026-09-22","","test_translation_pipeline","",""
"republish-failed --book-id <not_found> 警告并跳过","6","test_republish_failed_book_id_not_found_warns","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"测试 ImageGenerationStage 调用 AI 和 Playwright","16","test_image_generation_stage_calls_ai_and_playwright","tests.integration","2026-09-22","passed","2026-09-22","TestMainImageIntegration","test_main_image_integration","",""
"忽略水平线","0","test_ignores_horizontal_rule","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"转换有序列表","0","test_converts_ordered_list","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"正常翻译不应有任何问题","2","test_normal_translation_no_issues","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_check_optimization","",""
"生成一个简单 PDF 并检查其目录链接","12","test_pdf_toc_checker_simple_pdf","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"阶段失败时错误信息存储在上下文","17","test_error_message_in_context_on_failure","tests.integration","2026-09-22","passed","2026-09-22","TestErrorPropagation","test_error_propagation","",""
"","4","test_build_pipeline_with_skip_flags","tests.unit","2026-09-22","passed","2026-09-22","TestBuildPipeline","test_pipeline","",""
"90 分以上为优秀","0","test_grade_excellent","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"转义 & 符号","0","test_escapes_ampersand","tests.unit","2026-09-22","passed","2026-09-22","TestEscapeHtml","test_pdf_generator","",""
"验证缓存记录数量","0","test_translation_cache_query_count","tests.integration","2026-09-22","passed","2026-09-22","TestTranslationCache","test_translation_cache","",""
"完全没有中文","1","test_fluency_no_chinese","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"空字典应返回提示信息","0","test_handles_empty_dict","tests.unit","2026-09-22","passed","2026-09-22","TestFormatTokenSummary","test_stats_command","",""
"正常 phase 输出开始和结束标记","0","test_phase_normal_outputs_start_and_end","tests.unit","2026-09-22","passed","2026-09-22","","test_progress","",""
"转义单引号","0","test_escapes_single_quote","tests.unit","2026-09-22","passed","2026-09-22","TestEscapeHtml","test_pdf_generator","",""
"长文本翻译比例过低时保留翻译（不重试，因为重试大概率无效）","1","test_ratio_too_low_long_text_keeps_translated","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_check_optimization","",""
"check_unbackfilled_failed_books 检测到未回填时打印黄色提示","10","test_check_unbackfilled_prints_warning","tests.integration","2026-09-22","passed","2026-09-22","","test_republish_failed","",""
"场景5：同名已存在时追加时间戳而非覆盖","8","test_name_conflict_adds_timestamp","tests.integration","2026-09-22","passed","2026-09-22","TestFileMoving","test_file_moving","",""
"验证质量检查默认配置存在","0","test_quality_check_default_config","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"_format_prompt 应正确填充 {title} {summary}","3","test_format_prompt_contains_all_fields","tests.unit","2026-09-22","passed","2026-09-22","","test_image_generator_unit","",""
"处理代码块","0","test_handles_code_block","tests.unit","2026-09-22","passed","2026-09-22","TestMarkdownToHtml","test_pdf_generator","",""
"非 PDF 文件","16","test_pdf_toc_checker_not_pdf","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"event 输出关键事件标记","0","test_event_outputs_with_indicator","tests.unit","2026-09-22","passed","2026-09-22","","test_progress","",""
"测试 CopywritingStage 生成 xianyu_listing.txt 和 xiaohongshu_note.txt","21","test_copywriting_stage_writes_xianyu_and_xiaohongshu_files","tests.integration","2026-09-22","passed","2026-09-22","TestMainSummaryFlow","test_main_summary_flow","",""
"EPUB 包含目录","3","test_epub_contains_toc","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMiniEpub","test_pdf_generator","",""
"转义双引号","0","test_escapes_double_quote","tests.unit","2026-09-22","passed","2026-09-22","TestEscapeHtml","test_pdf_generator","",""
"验证质量报告保存到数据库","12","test_quality_check_saves_report_to_db","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"创建 TokenUsage 记录并验证字段","3","test_create_token_usage_record","tests.unit","2026-09-22","passed","2026-09-22","TestTokenUsageModel","test_token_usage","",""
"应记录闲鱼文案的 token 使用","3","test_generate_records_xianyu_token_usage","tests.unit","2026-09-22","passed","2026-09-22","TestAICopywriterTokenRecording","test_ai_copywriter_tokens","",""
"转义所有特殊字符","1","test_escapes_all_special_chars","tests.unit","2026-09-22","passed","2026-09-22","TestEscapeHtml","test_pdf_generator","",""
"generate 应解包 chat() 返回的 (text, usage) tuple","3","test_generate_unpacks_chat_tuple","tests.unit","2026-09-22","passed","2026-09-22","TestSummaryAIGeneratorTokenRecording","test_content_summarizer_tokens","",""
"应正确处理单个步骤","3","test_handles_single_step","tests.unit","2026-09-22","passed","2026-09-22","TestFormatTokenSummary","test_stats_command","",""
"翻译成功时，返回 source_paragraphs、translated_paragraphs、cache_data","5","test_translate_epub_success_returns_quality_data","tests.integration","2026-09-22","passed","2026-09-22","","test_translation_pipeline","",""
"所有段落都翻译完成","0","test_completeness_all_translated","tests.unit","2026-09-22","passed","2026-09-22","","test_quality_checker","",""
"验证 Book 模型有 summary_text 字段，初始值为 None","2","test_book_has_summary_text_field","tests.unit","2026-09-22","passed","2026-09-22","TestSummaryTextField","test_summary_text","",""
"EPUB 包含内容文件","5","test_epub_contains_content_xhtml","tests.unit","2026-09-22","passed","2026-09-22","TestCreateMiniEpub","test_pdf_generator","",""
"","1","test_generate_xianyu_listing_passes_summary","tests.unit","2026-09-22","passed","2026-09-22","","test_ai_client_summary","",""
"移除行内代码标记","0","test_removes_inline_code_markers","tests.unit","2026-09-22","passed","2026-09-22","TestParseMarkdownLines","test_pdf_generator","",""
